"Model","Accuracy","Crypto"
"Random Forest",99.28,"Ethereum"
"KNN",96.23,"Ethereum"
"Decision Tree",93.96,"Ethereum"
"SVM",89.58,"Ethereum"
"Naive Bayes",74.89,"Ethereum"
"Random Forest",96.72,"Bitcoin"
"KNN",91.4,"Bitcoin"
"SVM",87.06,"Bitcoin"
"Decision Tree",84.54,"Bitcoin"
"Naive Bayes",75.16,"Bitcoin"
