"RiskCategory","Count","Crypto","Pct"
"High Risk",2258,"Ethereum",23
"Low Risk",224,"Ethereum",2.3
"Medium Risk",7341,"Ethereum",74.7
"High Risk",44492,"Bitcoin",26.9
"Low Risk",3912,"Bitcoin",2.4
"Medium Risk",117248,"Bitcoin",70.8
